trial,model,successful_valid_response,first_try_valid,retries_needed,attempts_used,total_hallucinations_seen_across_attempts,first_attempt_hallucinations,final_hallucinations,token_limit_exceeded,final_duplicate_count
1,normal_apple,1,1,0,1,0,0,0,0,0
1,rag_apple,1,0,1,2,1,1,0,0,0
2,normal_apple,1,0,2,3,1,0,0,0,0
2,rag_apple,1,1,0,1,0,0,0,0,0
3,normal_apple,1,1,0,1,0,0,0,0,0
3,rag_apple,1,1,0,1,0,0,0,0,0
4,normal_apple,0,0,5,6,0,0,0,0,0
4,rag_apple,1,0,3,4,3,1,0,0,0
5,normal_apple,1,1,0,1,0,0,0,0,0
5,rag_apple,1,0,4,5,4,1,0,0,0
6,normal_apple,1,1,0,1,0,0,0,0,0
6,rag_apple,1,0,1,2,1,1,0,0,0
7,normal_apple,1,1,0,1,0,0,0,0,0
7,rag_apple,1,1,0,1,0,0,0,0,0
8,normal_apple,1,1,0,1,0,0,0,0,0
8,rag_apple,1,1,0,1,0,0,0,0,0
9,normal_apple,1,1,0,1,0,0,0,0,0
9,rag_apple,1,0,1,2,1,1,0,0,0
10,normal_apple,0,0,5,6,29,16,2,0,0
10,rag_apple,1,1,0,1,0,0,0,0,0
11,normal_apple,1,0,1,2,0,0,0,0,0
11,rag_apple,1,1,0,1,0,0,0,0,0
12,normal_apple,1,1,0,1,0,0,0,0,0
12,rag_apple,1,1,0,1,0,0,0,0,0
13,normal_apple,0,0,5,6,0,0,0,0,0
13,rag_apple,1,0,1,2,1,1,0,0,0
14,normal_apple,1,1,0,1,0,0,0,0,0
14,rag_apple,1,1,0,1,0,0,0,0,0
15,normal_apple,1,0,1,2,1,1,0,0,0
15,rag_apple,1,1,0,1,0,0,0,0,0
16,normal_apple,0,0,5,6,0,0,0,0,0
16,rag_apple,1,1,0,1,0,0,0,0,0
17,normal_apple,1,1,0,1,0,0,0,0,0
17,rag_apple,1,0,1,2,1,1,0,0,0
18,normal_apple,1,1,0,1,0,0,0,0,0
18,rag_apple,1,1,0,1,0,0,0,0,0
19,normal_apple,0,0,5,6,0,0,0,0,0
19,rag_apple,1,1,0,1,0,0,0,0,0
20,normal_apple,1,0,1,2,0,0,0,0,0
20,rag_apple,1,1,0,1,0,0,0,0,0
21,normal_apple,1,1,0,1,0,0,0,0,0
21,rag_apple,1,1,0,1,0,0,0,0,0
22,normal_apple,1,1,0,1,0,0,0,0,0
22,rag_apple,1,0,1,2,1,1,0,0,0
23,normal_apple,0,0,5,6,4,4,0,1,0
23,rag_apple,1,0,1,2,1,1,0,0,0
24,normal_apple,1,1,0,1,0,0,0,0,0
24,rag_apple,1,1,0,1,0,0,0,0,0
25,normal_apple,1,1,0,1,0,0,0,0,0
25,rag_apple,1,1,0,1,0,0,0,0,0
26,normal_apple,1,0,1,2,4,4,0,0,0
26,rag_apple,1,1,0,1,0,0,0,0,0
27,normal_apple,1,0,1,2,0,0,0,0,0
27,rag_apple,1,1,0,1,0,0,0,0,0
28,normal_apple,1,0,1,2,0,0,0,0,0
28,rag_apple,1,0,1,2,1,1,0,0,0
29,normal_apple,1,0,3,4,5,1,0,0,0
29,rag_apple,1,1,0,1,0,0,0,0,0
30,normal_apple,1,1,0,1,0,0,0,0,0
30,rag_apple,1,1,0,1,0,0,0,0,0
31,normal_apple,1,1,0,1,0,0,0,0,0
31,rag_apple,1,1,0,1,0,0,0,0,0
32,normal_apple,0,0,5,6,0,0,0,0,0
32,rag_apple,1,1,0,1,0,0,0,0,0
33,normal_apple,1,0,1,2,1,1,0,0,0
33,rag_apple,1,1,0,1,0,0,0,0,0
34,normal_apple,0,0,5,6,0,0,0,0,0
34,rag_apple,1,0,2,3,2,1,0,0,0
35,normal_apple,0,0,5,6,0,0,0,0,0
35,rag_apple,1,1,0,1,0,0,0,0,0
36,normal_apple,1,1,0,1,0,0,0,0,0
36,rag_apple,1,1,0,1,0,0,0,0,0
37,normal_apple,1,0,1,2,0,0,0,0,0
37,rag_apple,1,1,0,1,0,0,0,0,0
38,normal_apple,1,1,0,1,0,0,0,0,0
38,rag_apple,1,0,2,3,2,1,0,0,0
39,normal_apple,1,1,0,1,0,0,0,0,0
39,rag_apple,1,1,0,1,0,0,0,0,0
40,normal_apple,1,1,0,1,0,0,0,0,0
40,rag_apple,1,1,0,1,0,0,0,0,0
41,normal_apple,0,0,5,6,24,4,4,0,0
41,rag_apple,1,1,0,1,0,0,0,0,0
42,normal_apple,1,1,0,1,0,0,0,0,0
42,rag_apple,1,1,0,1,0,0,0,0,0
43,normal_apple,1,1,0,1,0,0,0,0,0
43,rag_apple,1,1,0,1,0,0,0,0,0
44,normal_apple,1,1,0,1,0,0,0,0,0
44,rag_apple,1,0,1,2,1,1,0,0,0
45,normal_apple,1,1,0,1,0,0,0,0,0
45,rag_apple,1,1,0,1,0,0,0,0,0
46,normal_apple,1,1,0,1,0,0,0,0,0
46,rag_apple,1,1,0,1,0,0,0,0,0
47,normal_apple,1,1,0,1,0,0,0,0,0
47,rag_apple,1,1,0,1,0,0,0,0,0
48,normal_apple,1,1,0,1,0,0,0,0,0
48,rag_apple,1,0,1,2,1,1,0,0,0
49,normal_apple,1,1,0,1,0,0,0,0,0
49,rag_apple,1,1,0,1,0,0,0,0,0
50,normal_apple,1,1,0,1,0,0,0,0,0
50,rag_apple,1,1,0,1,0,0,0,0,0
51,normal_apple,0,0,5,6,0,0,0,0,0
51,rag_apple,1,0,1,2,1,1,0,0,0
52,normal_apple,0,0,5,6,0,0,0,1,0
52,rag_apple,1,0,4,5,4,1,0,0,0
53,normal_apple,1,1,0,1,0,0,0,0,0
53,rag_apple,1,1,0,1,0,0,0,0,0
54,normal_apple,1,1,0,1,0,0,0,0,0
54,rag_apple,1,1,0,1,0,0,0,0,0
55,normal_apple,1,1,0,1,0,0,0,0,0
55,rag_apple,1,1,0,1,0,0,0,0,0
56,normal_apple,1,1,0,1,0,0,0,0,0
56,rag_apple,1,1,0,1,0,0,0,0,0
57,normal_apple,1,0,1,2,0,0,0,0,0
57,rag_apple,1,1,0,1,0,0,0,0,0
