trial,model,successful_valid_response,first_try_valid,retries_needed,attempts_used,total_hallucinations_seen_across_attempts,first_attempt_hallucinations,final_hallucinations,token_limit_exceeded,final_duplicate_count
1,apple_system_language_model,0,0,0,1,0,0,0,1,0
1,gemma_2_2b_it_4bit,0,0,5,6,112,19,20,0,0
1,llama_3_2_1b_instruct_4bit,0,0,5,6,65,6,12,0,1
2,apple_system_language_model,0,0,0,1,0,0,0,1,0
2,gemma_2_2b_it_4bit,0,0,5,6,115,20,18,0,0
2,llama_3_2_1b_instruct_4bit,0,0,5,6,92,11,15,0,1
3,apple_system_language_model,0,0,0,1,0,0,0,1,0
3,gemma_2_2b_it_4bit,0,0,5,6,128,17,20,0,0
3,llama_3_2_1b_instruct_4bit,0,0,5,6,273,56,39,0,0
4,apple_system_language_model,0,0,5,6,6,1,1,0,0
4,gemma_2_2b_it_4bit,0,0,5,6,132,42,18,0,0
4,llama_3_2_1b_instruct_4bit,0,0,5,6,267,24,27,0,78
5,apple_system_language_model,0,0,5,6,21,3,4,0,0
5,gemma_2_2b_it_4bit,0,0,5,6,62,23,0,0,0
5,llama_3_2_1b_instruct_4bit,0,0,5,6,72,0,7,0,0
6,apple_system_language_model,0,0,0,1,0,0,0,1,0
6,gemma_2_2b_it_4bit,0,0,5,6,129,24,21,0,0
6,llama_3_2_1b_instruct_4bit,0,0,5,6,295,58,9,0,0
7,apple_system_language_model,0,0,5,6,12,2,2,0,0
7,gemma_2_2b_it_4bit,0,0,5,6,100,16,15,0,0
7,llama_3_2_1b_instruct_4bit,0,0,5,6,90,20,9,0,0
8,apple_system_language_model,0,0,0,1,0,0,0,1,0
8,gemma_2_2b_it_4bit,0,0,5,6,134,34,20,0,0
8,llama_3_2_1b_instruct_4bit,0,0,5,6,306,272,0,0,0
9,apple_system_language_model,0,0,0,1,0,0,0,1,0
9,gemma_2_2b_it_4bit,0,0,5,6,108,8,20,0,0
9,llama_3_2_1b_instruct_4bit,0,0,5,6,338,57,55,0,0
10,apple_system_language_model,0,0,0,1,0,0,0,1,0
10,gemma_2_2b_it_4bit,0,0,5,6,100,3,20,0,0
10,llama_3_2_1b_instruct_4bit,0,0,5,6,126,28,17,0,0
11,apple_system_language_model,0,0,0,1,0,0,0,1,0
11,gemma_2_2b_it_4bit,0,0,5,6,109,13,19,0,0
11,llama_3_2_1b_instruct_4bit,0,0,5,6,336,58,26,0,1
12,apple_system_language_model,0,0,0,1,0,0,0,1,0
12,gemma_2_2b_it_4bit,0,0,5,6,115,15,20,0,0
12,llama_3_2_1b_instruct_4bit,0,0,5,6,117,24,18,0,2
13,apple_system_language_model,0,0,0,1,0,0,0,1,0
13,gemma_2_2b_it_4bit,0,0,5,6,128,33,19,0,0
13,llama_3_2_1b_instruct_4bit,0,0,5,6,64,2,4,0,0
14,apple_system_language_model,0,0,5,6,12,2,2,0,0
14,gemma_2_2b_it_4bit,0,0,5,6,74,25,0,0,0
14,llama_3_2_1b_instruct_4bit,0,0,5,6,391,6,0,0,0
15,apple_system_language_model,0,0,5,6,6,1,1,0,0
15,gemma_2_2b_it_4bit,0,0,5,6,182,77,21,0,0
15,llama_3_2_1b_instruct_4bit,0,0,5,6,36,1,0,0,0
16,apple_system_language_model,0,0,5,6,12,2,2,0,0
16,gemma_2_2b_it_4bit,0,0,5,6,125,15,21,0,0
16,llama_3_2_1b_instruct_4bit,0,0,5,6,132,25,11,0,0
17,apple_system_language_model,0,0,0,1,0,0,0,1,0
17,gemma_2_2b_it_4bit,0,0,5,6,119,28,18,0,0
17,llama_3_2_1b_instruct_4bit,0,0,5,6,163,43,16,0,0
18,apple_system_language_model,0,0,0,1,0,0,0,1,0
18,gemma_2_2b_it_4bit,0,0,5,6,92,11,0,0,0
18,llama_3_2_1b_instruct_4bit,0,0,5,6,70,0,17,0,0
